zip_code,median_income,neighborhood
90001,60751,South Central Los Angeles
90002,56158,Watts
90003,54781,South Los Angeles
90004,62655,Koreatown
90005,52755,Koreatown
90006,49847,Koreatown
90007,36032,University Park
90008,61822,Baldwin Hills
90010,100901,Koreatown
90011,53781,South Los Angeles
90012,67635,Chinatown
90013,32848,Downtown Los Angeles
90014,33822,Downtown Los Angeles
90015,63211,South Park
90016,71067,West Adams
90017,51317,Downtown
90018,63671,Jefferson Park
90019,71395,Mid Wilshire
90020,55832,Koreatown
90021,32250,Central City
90022,67829,East Los Angeles
90023,56623,Boyle Heights
90024,79994,Westwood
90025,104627,West Los Angeles
90026,85835,Echo Park
90027,90532,Los Feliz
90028,59393,Hollywood
90029,60793,Hollywood
90031,62119,Lincoln Heights
90032,81563,El Sereno
90033,56001,Boyle Heights
90034,103082,Palms
90035,108224,Pico-Robertson
90036,102877,Mid-Wilshire
90037,56417,South Los Angeles
90038,61566,Hollywood
90039,105578,Atwater Village
90040,70909,Commerce
90041,111834,Eagle Rock
90042,94401,Highland Park
90043,65496,Hyde Park
90044,51433,Vermont Knolls
90045,132577,Westchester
90046,94259,Hollywood Hills
90047,70187,Los Angeles
90048,104227,Mid-Wilshire
90049,169898,Brentwood
90052,,Downtown
90056,127252,Ladera Heights
90057,44876,Westlake
90058,36680,"Vernon, CA"
90059,53840,Watts
90061,60114,Green Meadows
90062,63652,Exposition Park
90063,71725,Boyle Heights
90064,129703,Cheviot Hills
90065,92903,Glassell Park
90066,107786,Mar Vista
90067,135328,Century City
90068,101720,Hollywood Hills
90069,110705,West Hollywood
90071,,Downtown
90073,,Bel Air
90077,220464,Bel Air
90079,,Downtown
90089,,University Park
90094,159904,Playa Vista
90095,,Westwood
90201,56824,Bell Gardens
90210,190382,Beverly Hills
90211,118125,Beverly Hills
90212,116238,Beverly Hills
90220,77535,Compton
90221,68191,Compton
90222,76467,Compton
90230,106827,Culver City
90232,125490,Culver City
90240,108860,Downey
90241,84375,Downey
90242,83238,Downey
90245,149149,El Segundo
90247,73851,Gardena
90248,81777,Gardena
90249,84921,Gardena
90250,74923,Hawthorne
90254,152019,Hermosa Beach
90255,61376,Huntington Park
90260,86736,Lawndale
90262,70507,Lynwood
90263,,Malibu
90265,191080,Malibu
90266,193904,Manhattan Beach
90270,61753,Maywood
90272,200985,Pacific Palisades
90274,222273,Palos Verdes Estates
90275,175212,Rancho Palos Verdes
90277,131985,Redondo Beach
90278,148581,Redondo Beach
90280,71379,South Gate
90290,142148,Topanga
90291,119043,Venice
90292,136964,Marina del Rey
90293,130699,Playa del Rey
90301,62991,Inglewood
90302,72461,Inglewood
90303,70853,Inglewood
90304,63317,Inglewood
90305,89030,Inglewood
90401,106704,Downtown Santa Monica
90402,182688,Santa Monica
90403,121512,Santa Monica
90404,85081,Santa Monica
90405,114489,Santa Monica
90501,92815,Torrance
90502,98867,Harbor Gateway
90503,119685,Torrance
90504,105474,Torrance
90505,110690,Torrance
90506,,Torrance
90601,102267,Whittier
90602,67259,Whittier
90603,121222,Whittier
90604,101104,Whittier
90605,100825,Whittier
90606,94904,Whittier
90621,94679,Buena Park
90623,112366,La Palma
90630,124360,Cypress
90631,102208,La Habra
90638,110606,La Mirada
90639,,La Mirada
